tf-idf   url
-1.609 wics.ics.uci.edu/category/news/info-session?afg12_page_id=2page/2/&afg13_page_id=1&afg22_page_id=2&afg34_page_id=4
-1.609 www.ics.uci.edu/about/visit/../bren/index.php/bren_advance.php/../brenhall/index.php/bren_vision.php/../../ugrad/index.php/bren_vision.php/bren_press.php/../about_mission.php/../about_safety.php/index.php/bren_advance.php/../search/index.php/bren_press.php/bren_vision.php/../brenhall/index.php/../search/index.php/../about_mission.php/../about_contact.php/../../grad/index.php/bren_advance.php/../../ugrad/index.php/../visit/index.php/index.php/../brenhall/index.php/ICS/ics/about/about_facts/index.php/../about_contact.php/../../ugrad/index.php/../about_mission.php/../about_contact.php/../brenhall/index.php/bren_advance.php/../about_safety.php/../about_contact.php/../../grad/index.php/bren_vision.php/../brenhall/index.php/../../grad/index.php/../../grad/index.php/../about_deanmsg.php/bren_press.php/index.php/bren_press.php/../search/index.php/bren_press.php/../brenhall/index.php/../../grad/index.php/../about_deanmsg.php/bren_press.php/index.php/../../ugrad/index.php/../about_safety.php/bren_about.php/../about_mission.php/index.php/bren_vision.php/bren_press.php/../brenhall/index.php/../about_safety.php/../about_deanmsg.php/../about_safety.php/index.php/../../grad/index.php/../about_safety.php/../../grad/index.php/../search/index.php/bren_advance.php/../../ugrad/index.php/../visit/index.php/bren_about.php/../visit/index.php/../search/index.php/../../ugrad/index.php/../../ugrad/index.php/../about_deanmsg.php/bren_advance.php/bren_vision.php/../brenhall/index.php/../about_safety.php/bren_advance.php/../../ugrad/index.php/../about_safety.php/ICS/ics/about/about_facts/index.php/bren_vision.php/../search/index.php/../../grad/index.php/../visit/index.php/../visit/index.php
-1.609 wics.ics.uci.edu/category/news/info-session?afg12_page_id=2page/2/&afg13_page_id=2&afg34_page_id=4&afg15_page_id=3&afg41_page_id=3&afg43_page_id=1
-1.609 www.ics.uci.edu/about/visit/../bren/index.php/bren_advance.php/../brenhall/index.php/bren_vision.php/../../ugrad/index.php/bren_vision.php/bren_press.php/../about_mission.php/../about_safety.php/index.php/bren_advance.php/../search/index.php/bren_press.php/bren_vision.php/../brenhall/index.php/../search/index.php/../about_mission.php/../../grad/index.php/bren_advance.php
-1.609 wics.ics.uci.edu/category/news/info-session?afg12_page_id=2page%2F2%2Fpage%2F2%2F&afg42_page_id=2&afg41_page_id=2&afg15_page_id=2&afg44_page_id=5
-1.609 www.ics.uci.edu/about/visit/../bren/index.php/bren_advance.php/../brenhall/index.php/bren_vision.php/../../ugrad/index.php/bren_vision.php/bren_press.php/../about_mission.php/../about_safety.php/index.php/bren_advance.php/bren_about.php/../visit/index.php/../brenhall/index.php/../about_mission.php/../about_mission.php/../../grad/index.php/index.php/bren_about.php/index.php/../../ugrad/index.php
-1.609 www.ics.uci.edu/alumni/mentor/hall_of_fame/hall_of_fame/stayconnected/stayconnected/hall_of_fame/stayconnected/stayconnected/hall_of_fame/stayconnected/stayconnected/hall_of_fame/stayconnected/hall_of_fame/hall_of_fame/stayconnected/index.php
-1.609 www.ics.uci.edu/faculty/profiles/view_faculty.php/grad/degrees/index/faculty/centers/ugrad/sao/centers/ugrad/index/involved/about/about/visit/index/computing/account/new/ugrad/policies/Grade_Options/faculty/area/about/about_contact.php/faculty/highlights/centers/index.php
-1.609 www.ics.uci.edu/alumni/mentor/hall_of_fame/hall_of_fame/stayconnected/hall_of_fame/stayconnected/stayconnected/stayconnected/hall_of_fame/stayconnected/hall_of_fame/hall_of_fame/stayconnected/stayconnected/hall_of_fame/stayconnected/hall_of_fame/stayconnected/hall_of_fame/stayconnected/stayconnected/stayconnected/stayconnected/stayconnected/stayconnected/hall_of_fame/stayconnected/stayconnected/hall_of_fame/hall_of_fame/stayconnected/stayconnected/stayconnected/stayconnected/hall_of_fame/stayconnected/hall_of_fame/stayconnected/stayconnected/hall_of_fame/stayconnected/hall_of_fame/stayconnected/stayconnected/hall_of_fame/stayconnected/stayconnected/hall_of_fame/stayconnected/hall_of_fame/hall_of_fame/stayconnected/hall_of_fame/hall_of_fame/hall_of_fame/stayconnected/stayconnected/stayconnected/hall_of_fame/hall_of_fame/hall_of_fame/stayconnected/hall_of_fame/hall_of_fame/hall_of_fame/hall_of_fame/stayconnected/hall_of_fame/hall_of_fame/stayconnected/stayconnected/stayconnected/hall_of_fame/stayconnected/hall_of_fame/hall_of_fame/hall_of_fame/stayconnected/stayconnected/stayconnected/hall_of_fame/stayconnected/hall_of_fame/hall_of_fame/stayconnected/stayconnected/stayconnected/stayconnected/stayconnected/hall_of_fame/stayconnected/hall_of_fame/stayconnected/stayconnected/hall_of_fame/stayconnected/hall_of_fame/hall_of_fame/stayconnected/hall_of_fame/stayconnected/hall_of_fame/stayconnected/stayconnected/hall_of_fame/hall_of_fame/hall_of_fame/stayconnected/hall_of_fame/stayconnected/stayconnected/stayconnected/stayconnected/stayconnected/stayconnected/index.php
-1.609 www.ics.uci.edu/about/visit/../bren/index.php/bren_advance.php/../brenhall/index.php/bren_vision.php/../../ugrad/index.php/bren_vision.php/bren_press.php/../about_mission.php/../about_safety.php/index.php/bren_advance.php/../search/index.php/bren_press.php/bren_vision.php/../brenhall/index.php/../visit/index.php/../../ugrad/index.php/../about_safety.php/bren_vision.php/../visit/index.php/../../ugrad/index.php/../about_contact.php/bren_about.php/../brenhall/index.php/bren_vision.php/bren_press.php/index.php/bren_press.php/../search/index.php/../search/index.php/ICS/ics/about/about_facts/../../ugrad/index.php/../../ugrad/index.php/../../ugrad/index.php/ICS/ics/about/about_facts/bren_press.php/../../ugrad/index.php/../../grad/index.php/../visit/index.php/bren_press.php/../../grad/index.php/bren_advance.php/ICS/ics/about/about_facts/index.php/bren_about.php/../about_deanmsg.php/bren_vision.php/bren_press.php/bren_press.php/../about_safety.php/../search/index.php/../../ugrad/index.php
-1.609 www.ics.uci.edu/alumni/hall_of_fame/hall_of_fame/stayconnected/stayconnected/index.php
